collection,link
"Old Man with a Gold Chain, 1631, Rembrandt van Rijn",https://www.artic.edu/artworks/95998/old-man-with-a-gold-chain
"Golden Bird, 1919/20 (base c. 1922), Constantin Brancusi",https://www.artic.edu/artworks/91194/golden-bird
"Hercules and the Lernaean Hydra, 1875/76, Gustave Moreau",https://www.artic.edu/artworks/20579/hercules-and-the-lernaean-hydra
"The Earth Is a Man, 1942, Matta",https://www.artic.edu/artworks/117188/the-earth-is-a-man
"Shiva as Lord of the Dance (Nataraja), Chola period, about 10th/11th century",https://www.artic.edu/artworks/24548/shiva-as-lord-of-the-dance-nataraja
"Avery Coonley Playhouse: Triptych Window, 1912, Frank Lloyd Wright",https://www.artic.edu/artworks/105203/avery-coonley-playhouse-triptych-window
"Earthly Paradise, 1916–20, Pierre Bonnard",https://www.artic.edu/artworks/144361/earthly-paradise
"Coffin and Mummy of Paankhenamun, Third Intermediate Period, Dynasty 22 (about 945–715 BC), Ancient Egyptian",https://www.artic.edu/artworks/64339/coffin-and-mummy-of-paankhenamun
"Untitled (Purple, White, and Red), 1953, Mark Rothko",https://www.artic.edu/artworks/100472/untitled-purple-white-and-red
"Hinoki, 2007, Charles Ray",https://www.artic.edu/artworks/189207/hinoki
"Chicago, 1950, Harry Callahan",https://www.artic.edu/artworks/100089/chicago
"Male Figure (Nkisi Nkondi), Early/mid–19th century, Vili",https://www.artic.edu/artworks/151358/male-figure-nkisi-nkondi
"Hang Up, 1966, Eva Hesse",https://www.artic.edu/artworks/71396/hang-up
"Woman before an Aquarium, 1921–23, Henri Matisse",https://www.artic.edu/artworks/27984/woman-before-an-aquarium
"Little Harbor in Normandy, spring 1909, Georges Braque",https://www.artic.edu/artworks/109330/little-harbor-in-normandy
"Cotton Pickers, 1945, Thomas Hart Benton",https://www.artic.edu/artworks/217201/cotton-pickers
"Equestrienne (At the Cirque Fernando), 1887/88, Henri de Toulouse-Lautrec",https://www.artic.edu/artworks/16146/equestrienne-at-the-cirque-fernando
"The Praying Jew, 1923 (one of two versions after a 1914 composition), Marc Chagall",https://www.artic.edu/artworks/23700/the-praying-jew
"Alka Seltzer, 1966, Roy Lichtenstein",https://www.artic.edu/artworks/122054/alka-seltzer
"Jesus Mocked by the Soldiers, 1865, Édouard Manet",https://www.artic.edu/artworks/16499/jesus-mocked-by-the-soldiers
"The Beach at Sainte-Adresse, 1867, Claude Monet",https://www.artic.edu/artworks/14598/the-beach-at-sainte-adresse
"Mountain Brook, 1863, Albert Bierstadt",https://www.artic.edu/artworks/146701/mountain-brook
"A Young Lady with a Parrot, c. 1730, Rosalba Carriera",https://www.artic.edu/artworks/103887/a-young-lady-with-a-parrot
"After the Hurricane, Bahamas, 1899, Winslow Homer",https://www.artic.edu/artworks/16776/after-the-hurricane-bahamas
"Still Life with Game Fowl, 1600/03, Juan Sánchez Cotán",https://www.artic.edu/artworks/84709/still-life-with-game-fowl
"Landscape at L’Estaque, 1906, Georges Braque",https://www.artic.edu/artworks/119521/landscape-at-l-estaque
"Arlésiennes (Mistral), 1888, Paul Gauguin",https://www.artic.edu/artworks/19339/arlesiennes-mistral
"Zapata, 1930, José Clemente Orozco",https://www.artic.edu/artworks/40619/zapata
"A City Park, c. 1887, William Merritt Chase",https://www.artic.edu/artworks/28849/a-city-park
"Interior at Nice, 1919 or 1920, Henri Matisse",https://www.artic.edu/artworks/2816/interior-at-nice
"At Mouquin’s, 1905, William James Glackens",https://www.artic.edu/artworks/15401/at-mouquin-s
"The Captive Slave, 1827, John Philip Simpson",https://www.artic.edu/artworks/193664/the-captive-slave
"…And the Home of the Brave, 1931, Charles Demuth",https://www.artic.edu/artworks/64276/and-the-home-of-the-brave
"The Philosopher’s Conquest, 1913–14, Giorgio de Chirico",https://www.artic.edu/artworks/30839/the-philosopher-s-conquest
"Harvest Talk, 1953, Charles White",https://www.artic.edu/artworks/111810/harvest-talk
"Gasthof zur Muldentalsperre, 2000/2002, Peter Doig",https://www.artic.edu/artworks/160226/gasthof-zur-muldentalsperre
"The Home of the Heron, 1893, George Inness",https://www.artic.edu/artworks/64724/the-home-of-the-heron
"Sunny Morning–Eight Legs, 1997, Lucian Freud",https://www.artic.edu/artworks/148306/sunny-morning-eight-legs
"Many Mansions, 1994, Kerry James Marshall",https://www.artic.edu/artworks/137125/many-mansions
"Interrupted Reading, c. 1870, Jean Baptiste Camille Corot",https://www.artic.edu/artworks/81512/interrupted-reading
"Solitaire, 1943, Balthus",https://www.artic.edu/artworks/20509/solitaire
"Portrait of Marevna, c. 1915, Diego Rivera",https://www.artic.edu/artworks/7021/portrait-of-marevna
"Bust of a Youth (Saint John the Baptist?), 1630/40, Francesco Mochi",https://www.artic.edu/artworks/73413/bust-of-a-youth-saint-john-the-baptist
"Fish (Still Life), 1864, Édouard Manet",https://www.artic.edu/artworks/44892/fish-still-life
"Judith, c. 1540, Jan Sanders van Hemessen",https://www.artic.edu/artworks/4575/judith
"The Interior of the Palm House on the Pfaueninsel Near Potsdam, 1834, Carl Blechen",https://www.artic.edu/artworks/144969/the-interior-of-the-palm-house-on-the-pfaueninsel-near-potsdam
"Croquet Scene, 1866, Winslow Homer",https://www.artic.edu/artworks/44018/croquet-scene
"View of Cotopaxi, 1857, Frederic Edwin Church",https://www.artic.edu/artworks/76571/view-of-cotopaxi
"In the Sea, 1883, Arnold Böcklin",https://www.artic.edu/artworks/110507/in-the-sea
"Edtaonisl (Ecclesiastic), 1913, Francis Picabia",https://www.artic.edu/artworks/80062/edtaonisl-ecclesiastic
"Beata Beatrix, 1871/72, Dante Gabriel Rossetti",https://www.artic.edu/artworks/16551/beata-beatrix
"Still Life with Dead Game, Fruits, and Vegetables in a Market, 1614, Frans Snyders",https://www.artic.edu/artworks/62042/still-life-with-dead-game-fruits-and-vegetables-in-a-market
"Reclining Woman, 1922, Fernand Léger",https://www.artic.edu/artworks/153701/reclining-woman
"The Room No. VI, 1948, Eldzier Cortor",https://www.artic.edu/artworks/191556/the-room-no-vi
"Ready-to-Wear, 1955, Stuart Davis",https://www.artic.edu/artworks/2189/ready-to-wear
"Painterly Realism of a Football Player—Color Masses in the 4th Dimension, Summer/fall 1915, Kazimir Malevich",https://www.artic.edu/artworks/207293/painterly-realism-of-a-football-player-color-masses-in-the-4th-dimension
"Human Nature/Life Death, 1983, Bruce Nauman",https://www.artic.edu/artworks/147513/human-nature-life-death
"The Advance-Guard, or The Military Sacrifice (The Ambush), 1890, Frederic Remington",https://www.artic.edu/artworks/97910/the-advance-guard-or-the-military-sacrifice-the-ambush
"Frederick Douglass, 1847/52, Samuel J. Miller",https://www.artic.edu/artworks/145681/frederick-douglass
"Head of a Woman (Fernande), 1909, Pablo Picasso",https://www.artic.edu/artworks/66039/head-of-a-woman-fernande
"Ceremonial Knife (Tumi), A.D. 1100/1470, Chimú",https://www.artic.edu/artworks/18757/ceremonial-knife-tumi
"The Wedding, 1948, Jacob Lawrence",https://www.artic.edu/artworks/125660/the-wedding
"The Battle between the Gods and the Giants, c. 1608, Joachim Antonisz. Wtewael",https://www.artic.edu/artworks/105466/the-battle-between-the-gods-and-the-giants
"The Awakening of the Forest, 1939, Paul Delvaux",https://www.artic.edu/artworks/111642/the-awakening-of-the-forest
"Festival in Montmartre, 1913, Gino Severini",https://www.artic.edu/artworks/185766/festival-in-montmartre
"The Flooded Grave, 1998–2000, Jeff Wall",https://www.artic.edu/artworks/157160/the-flooded-grave
"Madame Cézanne in a Yellow Chair, 1888/90, Paul Cézanne",https://www.artic.edu/artworks/62371/madame-cezanne-in-a-yellow-chair
"Helmet Mask (Mukenga), Late 19th/mid–20th century, Kuba",https://www.artic.edu/artworks/99539/helmet-mask-mukenga
"Interrogation II, 1981, Leon Golub",https://www.artic.edu/artworks/100250/interrogation-ii
"Brushstroke with Spatter, 1966, Roy Lichtenstein",https://www.artic.edu/artworks/24836/brushstroke-with-spatter
"Flower Clouds, c. 1903, Odilon Redon",https://www.artic.edu/artworks/76395/flower-clouds
"The First Part of the Return from Parnassus, 1961, Cy Twombly",https://www.artic.edu/artworks/186049/the-first-part-of-the-return-from-parnassus
"The Fountains, 1787/88, Hubert Robert",https://www.artic.edu/artworks/57051/the-fountains
"Amédée-David, the Comte de Pastoret, 1823–26, Jean Auguste Dominique Ingres",https://www.artic.edu/artworks/111317/amedee-david-the-comte-de-pastoret
"Weeping Woman I, July 1, 1937, Pablo Picasso",https://www.artic.edu/artworks/135430/weeping-woman-i
"Woman Reading, 1880/81, Édouard Manet",https://www.artic.edu/artworks/14591/woman-reading
"Virgin and Child with the Young Saint John the Baptist, c. 1515, Correggio",https://www.artic.edu/artworks/23972/virgin-and-child-with-the-young-saint-john-the-baptist
"Pair of Headdresses (Chiwara Kunw), Mid–19th/early 20th century, Bamana",https://www.artic.edu/artworks/189595/pair-of-headdresses-chiwara-kunw
"The Annunciation, 1490/95, Jean Hey, (the Master of Moulins)",https://www.artic.edu/artworks/16327/the-annunciation
"The Titanic, 1978, Stanley Tigerman",https://www.artic.edu/artworks/102963/the-titanic
"Train Station, 1935, Walter Ellison",https://www.artic.edu/artworks/105800/train-station
"The Artist Looks at Nature, 1943, Charles Sheeler",https://www.artic.edu/artworks/49714/the-artist-looks-at-nature
"Stela of Amenemhat and Hemet, Middle Kingdom, early Dynasty 12 (about 1956–1877 BC), Ancient Egyptian",https://www.artic.edu/artworks/127859/stela-of-amenemhat-and-hemet
"Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana), 1893, Paul Gauguin",https://www.artic.edu/artworks/60812/merahi-metua-no-tehamana-tehamana-has-many-parents-or-the-ancestors-of-tehamana
"The Policeman, 1925, Joan Miró",https://www.artic.edu/artworks/111654/the-policeman
"Madame de Pastoret and Her Son, 1791/92, Jacques Louis David",https://www.artic.edu/artworks/27307/madame-de-pastoret-and-her-son
"Portrait Vessel of a Ruler, 100 B.C./A.D. 500, Moche",https://www.artic.edu/artworks/91620/portrait-vessel-of-a-ruler
"Magnolias on Light Blue Velvet Cloth, 1885/95, Martin Johnson Heade",https://www.artic.edu/artworks/100829/magnolias-on-light-blue-velvet-cloth
"Caribs’ Leap/Western Deep, 2002, Steve McQueen",https://www.artic.edu/artworks/181091/caribs-leap-western-deep
"Boy on a Ram, 1786/87, Francisco José de Goya y Lucientes",https://www.artic.edu/artworks/111559/boy-on-a-ram
"The Nativity, 1504/07, Fra Bartolommeo",https://www.artic.edu/artworks/184371/the-nativity
"Red Yellow Blue White and Black II, 1953, Ellsworth Kelly",https://www.artic.edu/artworks/157156/red-yellow-blue-white-and-black-ii
